Ecosystem services,Ecosystem components,Rating,Ecosystem types,Link_assessment,Link assessment,Justification
Air filtration,Structural and Biotic Integrity,R,Palustrine Wetlands ,1,Y,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
Air filtration,Structural and Biotic Integrity,R,"Artificial Freshwaters, Lakes, Rivers and streams ",1,P,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
Air filtration,Structural and Biotic Integrity,R,Semi-confined transitional waters,1,P,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
Air filtration,Structural and Biotic Integrity,R,Pelagic ocean waters and Deep Sea floors,1,P,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
Air filtration,Structural and Biotic Integrity,R,Anthropogenic marine systems,1,P,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
Air filtration,Structural and Biotic Integrity,R,Marine shelfs,1,P,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
Air filtration,Structural and Biotic Integrity,R,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,P,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
Air filtration,Structural and Biotic Integrity,R,Brackish tidal systems ,1,P,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
Air filtration,Species,R,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,Species directly provide filtration services. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Air filtration,Species,R,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,Species directly provide filtration services. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Air filtration,Species,R,Desert and Semi-deserts ,1,P,Species directly provide filtration services. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Air filtration,Species,R,Polar-Alpine ,1,P,Species directly provide filtration services. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Air filtration,Species,R,Intensive Land Use Systems - Agriculture and Croplands ,1,P,Species directly provide filtration services. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Air filtration,Species,R,Intensive Land Use Systems - Urban and Developed Area,1,Y,Species directly provide filtration services. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Air filtration,Species,R,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",0,N,Species directly provide filtration services. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Air filtration,Species,R,Palustrine Wetlands ,1,Y,Species directly provide filtration services. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Air filtration,Species,R,"Artificial Freshwaters, Lakes, Rivers and streams ",1,P,Species directly provide filtration services. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Air filtration,Species,R,Semi-confined transitional waters,1,P,Species directly provide filtration services. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Air filtration,Species,R,Pelagic ocean waters and Deep Sea floors,1,P,Species directly provide filtration services. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Air filtration,Species,R,Anthropogenic marine systems,1,P,Species directly provide filtration services. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
